acf_france
ActionAid
AcumenFund
Aflatoun
akilahinstitute
AkshayaPatra
arcrelief
amnesty
AMREF
anti_slavery
herorats
aravindeye
archforhumanity
asa_uk
Ashoka
anjectweets
asylumaccess
bracworld
barefootcollege
bornfreefdn
Cambia
Care
CeaseFire
Ceres
cyfiyouth
civicusalliance
clintonhealth
codeforamerica
cg_danceteam
Concern
creativecommons
CureViolence
drc_dk
dambgd
diplomacyedu
digdivdata
escuela_nueva
FareShare
fasngo
fidh_en
Fonkoze
fawe_kenya
fredhollows
freethechildren
friends_intl
ecopeaceme
frontlinesms
gaiaamazonas
gainalliance
Gens_For_Peace
genevacall
endovershoot
Global_Witness
GramVikasIN
Greenpeace
habitat_org
HI_france
hczorg
helenkellerintl
Heifer
hrw
iDEorg
INJAZAlArab
poverty_action
instcrianca
intalert
IBJGeneva
theictj
icj_org
crisisgroup
ideindia
imc_worldwide
ippf
theirc
interpeacetweet
kickstarter
krousarthmey
Landesa_Global
officiallibera
luzrosada07
MarieStopes
MSF
Medic
reliefintl
mercycorps
merlinofficial
MideastYouth
Movember
OneAcreFund
OneWorldHealth
opensociety
OperationASHA
oxfam
panziusa
PIH
planglobal
PlanetRead
PositivePlanet_
pratham_india
projectwet
RnfrstAlliance
raregenomics
rsf_inter
Reprieve
ridersforhealth
tidelearning
roomtoread
RootCapital
Saferworld
saudecrianca
save_children
sfcg_
sendacow
Skateistan
teachforamerica
TEDTalks
bigissuesa
Tostan
anticorruption
TRIAL
Ushahidi
viva_rio
waterforpeople
Wikimedia
witnessorg
WorldVision
WWF
ycabfoundation
zoa_national
cyfiyouth
cfusa
ACF_Canada
ActionAid
Acumen
Aflatoun
AkilahInstitute
AkshayaPatra
UKAkshayaPatra
trueveda
FeedTheFutureIN
amnesty
amnestyusa
Amref_Worldwide
AMREFUSA
AmrefCanada
Anti_Slavery
archforhumanity
Ashoka
asylumaccess
ADBandNGOs
BarefootCollege
BFFoundation
Cambia
CARE
CeaseFireChgo
CeresNews
CYFIYouth
CIVICUSalliance
ClintonHealth
codeforamerica
Concern
worldconcern
creativecommons
CureViolence
refugeecouncil
DAM_UK
dambgd
DiplomacyEdu
digdivdata
FareShareUK
CHNIFareshare
FareShare1
FShareGlasgow
Fareshare
FareShareYorks
FareShareCymru
FareShareEMids
FareShareWL
FASNGO
fidh_en
Fonkoze
FAWEUganda
fawekenya
AlisonTracie
CampKesemSBU
freethechildoz
BornFreeAfrica
BeauBidenFdn
Friends_Intl
FoAorg
FoEiFriends0fAfrica
GAINalliance
genpeace
EndOvershoot
Global_Witness
GW_DRC
GramVikasIN
gramvikasusa
Greenpeace
Greenpeaceafric
GreenpeaceNZ
Habitat_org
HabitatCanada
HFHGP
HI_UnitedStates
childrensatl
Heifer
hrw
INJAZAlArab
poverty_action
intalert
IBJGeneva
GuernicaCentre
CrisisGroup
IMC_Worldwide
ippf
theIRC
InterpeaceTweet
DeafCambodia
Landesa_Global
MSF
Medic
mercycorps â€
Movember
OneAcreFund
OneWorldHealth
OpenSociety
OperationASHA
Oxfam
PIH
PATHtweets
PlanGlobal
PlanetRead
Pratham_India
RnfrstAlliance
RSF_inter
Reprieve
ridersforhealth
tidelearning
Saferworld
save_children
CommonGroundID
Skateistan
TeachForAmerica
BigIssue
Tostan
TransparencyUK
Trial
ushahidi
Viva_Rio
waterforpeople
Wikimedia
witnessorg
WorldVision
wwfhk
ycabfoundation
ACLU
UMWomen
WHO
UNICEF
OCHAIraq
UNHCRinSYRIA
IDLO
undgdoco
PlanRESA
